battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,kits,BRL,Neosolar,NEO-22319,,,,,1,"Kit Gerador Energia Solar 1,65 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Madeira)",,,0,65,65.0,1650,0,,,draft,Solar Kit|Neosolar,0,1,68,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22314,,,,,1,"Kit Gerador Energia Solar 1,10 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,10,10.0,1100,0,,,draft,Solar Kit|Neosolar,0,1,12,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22323,,,,,1,"Kit Gerador Energia Solar 2,20 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Laje)",,,0,20,20.0,2200,0,,,draft,Solar Kit|Neosolar,0,1,24,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22315,,,,,1,"Kit Gerador Energia Solar 1,10 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova",,,0,10,10.0,1100,0,,,draft,Solar Kit|Neosolar,0,1,12,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22460,,,,,1,"Kit Gerador Energia Solar 0,59 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Luxen (Mini Trilho)",,,0,595,59.0,595,0,,,draft,Solar Kit|Neosolar,0,1,596,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22304,,,,,55,"Kit Gerador Energia Solar 0,55 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Mini Trilho)",,,,,55.0,0,0,,,draft,Solar Kit|Neosolar,0,55,0,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22286,,,,,1,"Kit Gerador Energia Solar 1,16 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,16,16.0,1160,0,,,draft,Solar Kit|Neosolar,0,1,18,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22279,,,,,1,"Kit Gerador Energia Solar 0,58 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Solo)",,,0,58,58.0,580,0,,,draft,Solar Kit|Neosolar,0,1,59,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22281,,,,,1,"Kit Gerador Energia Solar 1,16 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Laje)",,,0,16,16.0,1160,0,,,draft,Solar Kit|Neosolar,0,1,18,0,Solar Kit Grid-Tie
,,,,kits,BRL,Neosolar,NEO-22288,,,,,1,"Kit Gerador Energia Solar 1,74 kWp - Microinversor Deye c/ Wifi SUN2000 - Painel Sunova (Laje)",,,0,74,74.0,1740,0,,,draft,Solar Kit|Neosolar,0,1,77,0,Solar Kit Grid-Tie
