CNPJ;Sigla;Razão Social;Ativo;Distribuição;Geração;Transmissão;Comercialização;Estados Atendidos;Total Municípios;Lat Mínima;Lat Máxima;Lng Mínima;Lng Máxima;Lat Centro;Lng Centro;Tarifa Vigência Início;Tarifa Vigência Fim;Tarifa Modalidade;Tarifa Valor kWh;Projetos GD Total;Projetos GD Classe;Projetos GD Tipos;Mercado Anual Estimado
60855608000120;CPFL SUL PAULIST;COMPANHIA SUL PAULISTA DE ENERGIA;Sim;Sim;Sim;Não;Não;SP;234;-23.9099;-21.9099;-48.0626;-46.0626;-22.9099;-47.0626;;;;;32000.0;;;R$ 14.4M
13255658000196;SULGIPE;COMPANHIA SUL SERGIPANA DE ELETRICIDADE;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
32681737000103;;COMPLEXO SOLAR IBICUITINGA GERACAO DE ENERGIA ELETRICA LTDA;Sim;Sim;Sim;Não;Sim;;0;;;;;;;;;;;;;;
33012498000161;Rosario;COMPLEXO SOLAR ROSARIO GERACAO DE ENERGIA LTDA;Sim;Sim;Sim;Não;Sim;;0;;;;;;;;;;;;;;
26996892000116;;CONFEDERACAO NACIONAL DAS COOPERATIVAS DE INFRA ESTRUTURA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
1560379000157;CONSTRUTORA LJA;CONSTRUTORA LJA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
3978632000112;CERCAMPO;COOP DE ELET RURAL DA GRANDE CAMPO GRANDE - CERCAMPO;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
49606312000132;CERIPa;COOP DE ELET RURAL DE ITAI PARANAPANEMA AVARE LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
88819099000107;CERVALE;COOP DE ELETRIFICACAO RURAL DO VALE DO JAGUARI LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
76879295000180;CERCAR;COOP. DE ELETRIF. E DESENV. ECONOMICO DE MAL. CDO. RONDON - CERCAR;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
83647990000181;COOPERALIANÇA;COOPERATIVA ALIANCA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
75826404000138;CERAL ANITÁPOLIS;COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ANITAPOLIS - CERAL;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
10532365000110;CERAL-DIS;COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ARAPOTI;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
30460297000139;CASTRO-DIS;COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE CASTRO;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
