distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_inverters_IIN00250,GROWATT ON-GRID 6KW - 220V - 2 MPPT - AFCI (MIN6000TL-X2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 6KW - 220V - 2 MPPT - AFCI (MIN6000TL-X2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00242,GROWATT ON-GRID 8KW - 220V - 3 MPPT - AFCI (MIN8000TL-X2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 8KW - 220V - 3 MPPT - AFCI (MIN8000TL-X2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00239,GROWATT ON-GRID 15KW - 220V - 4 MPPT - AFCI (MID15KTL3-XL2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 15KW - 220V - 4 MPPT - AFCI (MID15KTL3-XL2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00237,GROWATT ON-GRID 25KW - 220V - 4 MPPT - AFCI (MID 25KTL3-XL2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 25KW - 220V - 4 MPPT - AFCI (MID 25KTL3-XL2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00235,GROWATT ON-GRID 60KW - 220V - 8 MPPT - AFCI (MAX60KTL3-XL2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 60KW - 220V - 8 MPPT - AFCI (MAX60KTL3-XL2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00265,FOXESS  ON-GRID 15KW - 220V - 4 MPPT - AFCI (VL15),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 15KW - 220V - 4 MPPT - AFCI (VL15),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00264,FOXESS  ON-GRID 20KW - 220V - 4 MPPT - AFCI (VL20),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 20KW - 220V - 4 MPPT - AFCI (VL20),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00263,FOXESS  ON-GRID 25KW - 220V - 4 MPPT - AFCI (VL25),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 25KW - 220V - 4 MPPT - AFCI (VL25),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00262,FOXESS  ON-GRID 30KW - 220V - 4 MPPT - AFCI (VL30),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 30KW - 220V - 4 MPPT - AFCI (VL30),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00261,FOXESS  ON-GRID 37.5KW - 220V - 4 MPPT - AFCI (VL37.5),Foxess,,,inverters,,,,,,,,,BRL,FOXESS  ON-GRID 37.5KW - 220V - 4 MPPT - AFCI (VL37.5),,,,,,,,,,,
