avg_price,distributors_count,id_Fortlev,id_Fotus,id_Neosolar,inverter_manufacturer,max_price,min_price,panel_manufacturer,panel_power_w,price_Fortlev,price_Fotus,price_Neosolar,price_diff,price_diff_pct,system_kwp
6990.92,4,,,NEO-25055,,6990.92,6990.92,,435,,,6990.92,0.0,0.0,31.0
39291.55,23,,,NEO-26671,,39291.55,39291.55,,620,,,0,0.0,0.0,14.88
,87,,,NEO-21740,,,,,0,,,0,,,74.0
,95,,,NEO-21511,,,,,0,,,0,,,58.0
,15,,,NEO-21072,,,,,0,,,0,,,72.0
,31,,,NEO-22345,,,,,0,,,0,,,78.0
,30,,,NEO-22439,,,,,0,,,0,,,38.0
,15,,,NEO-21044,,,,,0,,,0,,,30.0
,8,,,NEO-22650,,,,,280,,,0,,,0.28
,4,,,NEO-24556,,,,,585,,,0,,,1.17
,4,,,NEO-23939,,,,,555,,,0,,,0.22
,3,,,NEO-23936,,,,,160,,,0,,,0.12
,4,,,NEO-23938,,,,,585,,,0,,,0.17
,8,,,NEO-22664,,,,,280,,,0,,,0.56
,12,,,NEO-22632,,,,,330,,,0,,,0.66
,3,,,NEO-22668,,,,,280,,,0,,,1.12
,7,,,NEO-25058,,,,,610,,,0,,,44.0
,7,,,NEO-25056,,,,,610,,,0,,,22.0
,2,,,NEO-22641,,,,,330,,,0,,,0.99
,19,,,NEO-24904,,,,,610,,,0,,,76.0
,2,,,NEO-24942,,,,,610,,,0,,,64.0
,24,,,NEO-24923,,,,,610,,,0,,,1.0
,10,,,NEO-25085,,,,,610,,,0,,,81.0
,10,,,NEO-25084,,,,,610,,,0,,,20.0
,10,,,NEO-25091,,,,,610,,,0,,,15.0
,10,,,NEO-25080,,,,,610,,,0,,,10.0
,81,,,NEO-21723,,,,,0,,,0,,,32.0
,35,,,NEO-21119,,,,,0,,,0,,,59.0
,10,,,NEO-21398,,,,,0,,,0,,,57.0
,68,,,NEO-21800,,,,,0,,,0,,,16.0
,12,,,NEO-23099,,,,,0,,,0,,,34.0
,13,,,NEO-21127,,,,,0,,,0,,,15.0
,8,,,NEO-23084,,,,,0,,,0,,,17.0
,9,,,NEO-23097,,,,,0,,,0,,,75.0
,26,,,NEO-22221,,,,,0,,,0,,,65.0
,26,,,NEO-22219,,,,,0,,,0,,,10.0
,31,,,NEO-22210,,,,,0,,,0,,,55.0
,22,,,NEO-22323,,,,,0,,,0,,,20.0
,4,,,NEO-24690,,,,,0,,,0,,,44.0
,6,,,NEO-24925,,,,,610,,,0,,,49.0
,14,,,NEO-25070,,,,,610,,,0,,,66.0
,10,,,NEO-25082,,,,,610,,,0,,,54.0
,10,,,NEO-25079,,,,,610,,,0,,,88.0
,10,,,NEO-25073,,,,,610,,,0,,,32.0
,23,,,NEO-22506,,,,,0,,,0,,,66.0
,21,,,NEO-24693,,,,,0,,,0,,,22.0
,24,,,NEO-22932,,,,,0,,,0,,,11.0
,32,,,NEO-21126,,,,,0,,,0,,,19.0
,2,,,NEO-24632,,,,,0,,,0,,,24.0
,2,,,NEO-24694,,,,,0,,,0,,,83.0
