sku,has_images,image_count,primary_url,all_urls,categories,total_size_bytes,formats
"ILS00019",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00019.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00019.png","UNKNOWN-MANUFACTURER",68654,"png"
"IMAGE",true,8,"https://cdn.yellosolarhub.com/products/acessorios/image.png","https://cdn.yellosolarhub.com/products/acessorios/image.png|https://cdn.yellosolarhub.com/products/cabos/image.png|https://cdn.yellosolarhub.com/products/cabos/image.webp|https://cdn.yellosolarhub.com/products/inversores/image.jpeg|https://cdn.yellosolarhub.com/products/inversores/image.jpg|https://cdn.yellosolarhub.com/products/inversores/image.png|https://cdn.yellosolarhub.com/products/inversores/image.webp|https://cdn.yellosolarhub.com/products/paineis/image.png","acessorios|cabos|inversores|paineis",783728,"png|webp|jpeg|jpg"
"IMAGEM",true,1,"https://cdn.yellosolarhub.com/products/GENERIC-COMPONENTS/imagem.png","https://cdn.yellosolarhub.com/products/GENERIC-COMPONENTS/imagem.png","GENERIC-COMPONENTS",394286,"png"
"IMAGEPRODUCT000607",true,1,"https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000607.jpg","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000607.jpg","baterias",34166,"jpg"
"IMAGEPRODUCT000612",true,1,"https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000612.jpg","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000612.jpg","baterias",51309,"jpg"
"IMAGEPRODUCT052113",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052113.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052113.png","cabos",78860,"png"
"IMAGEPRODUCT052115",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052115.jpg","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052115.jpg","cabos",7930,"jpg"
"IMAGEPRODUCT052117",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052117.jpg","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052117.jpg","cabos",7930,"jpg"
"IMAGEPRODUCT052118",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052118.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052118.png","cabos",55345,"png"
"IMAGEPRODUCT052119",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052119.jpg","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052119.jpg","cabos",7930,"jpg"
"IMAGEPRODUCT052121",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052121.jpg","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052121.jpg","cabos",7930,"jpg"
"IMAGEPRODUCT052122",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052122.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052122.png","cabos",55345,"png"
"IMAGEPRODUCT052123",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052123.jpg","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052123.jpg","cabos",7930,"jpg"
"IMAGEPRODUCT052124",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052124.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052124.png","cabos",55345,"png"
"IMAGEPRODUCT052125",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052125.jpg","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052125.jpg","cabos",7930,"jpg"
"IMAGEPRODUCT052126",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052126.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052126.png","cabos",55345,"png"
"IMAGEPRODUCT052127",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052127.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052127.png","cabos",63328,"png"
"IMAGEPRODUCT052128",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052128.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052128.png","cabos",63328,"png"
"IMAGEPRODUCT052129",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052129.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052129.png","cabos",75150,"png"
"IMAGEPRODUCT052130",true,1,"https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052130.png","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052130.png","cabos",78860,"png"
"IMAGEPRODUCT400187",true,1,"https://cdn.yellosolarhub.com/products/estruturas/IMAGE_PRODUCT_400187.png","https://cdn.yellosolarhub.com/products/estruturas/IMAGE_PRODUCT_400187.png","estruturas",318321,"png"
"IMAGEPRODUCT400188",true,1,"https://cdn.yellosolarhub.com/products/estruturas/IMAGE_PRODUCT_400188.png","https://cdn.yellosolarhub.com/products/estruturas/IMAGE_PRODUCT_400188.png","estruturas",62673,"png"
